department_or_faculty,school_name,title,url
department,Stanford University,Aeronautics & Astronautics Department,https://aa.stanford.edu/
department,Stanford University,Anesthesia Department,http://med.stanford.edu/anesthesia/
department,Stanford University,Anthropology,http://anthropology.stanford.edu/
department,Stanford University,Applied Physics Department,http://web.stanford.edu/dept/app-physics/
department,Stanford University,Art & Art History Department,https://art.stanford.edu/
department,Stanford University,Biochemistry Department,http://biochem.stanford.edu/
department,Stanford University,Bioengineering Department,http://bioengineering.stanford.edu/
department,Stanford University,Biology Department,https://biology.stanford.edu/
department,Stanford University,"Biology, Developmental",http://devbio.stanford.edu
department,Stanford University,"Business, Graduate School of",http://www.gsb.stanford.edu/
department,Stanford University,Cardiothoracic Surgery Department,http://ctsurgery.stanford.edu/
department,Stanford University,Chemical and Systems Biology,http://chemsysbio.stanford.edu
department,Stanford University,Chemical Engineering Department,http://cheme.stanford.edu/
department,Stanford University,Chemistry Department,http://chemistry.stanford.edu/
department,Stanford University,Civil & Environmental Engineering Department,http://cee.stanford.edu/
department,Stanford University,Classics Department,https://classics.stanford.edu/
department,Stanford University,Communication Department,http://comm.stanford.edu/
department,Stanford University,Comparative Literature Department,https://dlcl.stanford.edu/departments/comparative-literature/about
department,Stanford University,Comparative Medicine Department,http://med.stanford.edu/compmed/
department,Stanford University,Computer Science Department,http://cs.stanford.edu/
department,Stanford University,Dermatology Department,http://dermatology.stanford.edu
department,Stanford University,Developmental Biology Department,http://devbio.stanford.edu/
department,Stanford University,Earth System Science,https://earth.stanford.edu/ess
department,Stanford University,"Earth, Energy & Environmental Sciences, School of",https://earth.stanford.edu/
department,Stanford University,East Asian Languages and Cultures Department,http://ealc.stanford.edu/
department,Stanford University,Economics Department,https://economics.stanford.edu/
department,Stanford University,"Education, Graduate School of",https://ed.stanford.edu/
department,Stanford University,Electrical Engineering Department,http://ee.stanford.edu/
department,Stanford University,Energy Resources Engineering Department,https://earth.stanford.edu/ere
department,Stanford University,"Engineering, School of",http://soe.stanford.edu/
department,Stanford University,English Department,https://english.stanford.edu/
department,Stanford University,French and Italian Department,https://dlcl.stanford.edu/departments/french-and-italian/about
department,Stanford University,Genetics Department,http://genetics.stanford.edu/
department,Stanford University,Geological Sciences Department,https://earth.stanford.edu/ges/
department,Stanford University,Geophysics Department,https://earth.stanford.edu/geophysics/
department,Stanford University,German Studies Department,https://dlcl.stanford.edu/departments/german-studies/about
department,Stanford University,Health Research & Policy Department,http://hrp.stanford.edu/
department,Stanford University,History Department,https://history.stanford.edu/
department,Stanford University,"Humanities & Sciences, School of",https://humsci.stanford.edu
department,Stanford University,Iberian & Latin American Cultures Department,https://dlcl.stanford.edu/departments/iberian-and-latin-american-cultures/about
department,Stanford University,Law School,https://law.stanford.edu
department,Stanford University,Linguistics Department,https://linguistics.stanford.edu/
department,Stanford University,Management Science & Engineering Department,https://msande.stanford.edu/
department,Stanford University,Materials Science & Engineering Department,http://mse.stanford.edu/
department,Stanford University,Mathematics Department,http://math.stanford.edu/
department,Stanford University,Mechanical Engineering Department,http://me.stanford.edu/
department,Stanford University,Medicine Department,http://medicine.stanford.edu/
department,Stanford University,"Medicine, School of",http://med.stanford.edu/
department,Stanford University,Microbiology & Immunology Department,http://cmgm.stanford.edu/micro/
department,Stanford University,Molecular & Cellular Physiology Department,http://mcp.stanford.edu/
department,Stanford University,Music Department,https://music.stanford.edu
department,Stanford University,Neurobiology Department,http://neurobiology.stanford.edu/
department,Stanford University,Neurology & Neurological Sciences Department,http://med.stanford.edu/neurology/
department,Stanford University,Neurosurgery Department,http://neurosurgery.stanford.edu
department,Stanford University,Obstetrics and Gynecology Department,http://obgyn.stanford.edu
department,Stanford University,Ophthalmology Department,http://ophthalmology.stanford.edu/
department,Stanford University,Orthopaedic Surgery Department,http://ortho.stanford.edu
department,Stanford University,Otolaryngology (Head and Neck Surgery) Department,http://med.stanford.edu/ohns/
department,Stanford University,Pathology Department,http://pathology.stanford.edu/
department,Stanford University,Pediatrics Department,http://pediatrics.stanford.edu/
department,Stanford University,Philosophy Department,https://philosophy.stanford.edu/
department,Stanford University,Photon Science (SLAC),https://www6.slac.stanford.edu/research
department,Stanford University,Physics Department,https://physics.stanford.edu
department,Stanford University,Political Science Department,https://politicalscience.stanford.edu/
department,Stanford University,Psychiatry and Behavioral Sciences Department,http://psychiatry.stanford.edu/
department,Stanford University,Psychology Department,http://psychology.stanford.edu/
department,Stanford University,Radiation Oncology Department,http://radonc.stanford.edu/
department,Stanford University,Radiology Department,http://radiology.stanford.edu/
department,Stanford University,Religious Studies Department,http://religiousstudies.stanford.edu
department,Stanford University,Slavic Languages and Literature Department,https://dlcl.stanford.edu/departments/slavic-languages-and-literatures/about
department,Stanford University,Sociology Department,https://sociology.stanford.edu/
department,Stanford University,Statistics Department,https://statistics.stanford.edu/
department,Stanford University,Structural Biology Department,http://structuralbio.stanford.edu
department,Stanford University,Surgery Department,http://surgery.stanford.edu/
department,Stanford University,Theater and Performance Studies,http://taps.stanford.edu/
department,Stanford University,Urology Department,http://urology.stanford.edu/
department,Massachusetts Institute of Technology (MIT),Architecture,http://architecture.mit.edu/
department,Massachusetts Institute of Technology (MIT),Media Arts and Sciences,http://www.media.mit.edu/admissions/program-overview/freshman-year-program
department,Massachusetts Institute of Technology (MIT),Urban Studies and Planning,http://dusp.mit.edu/
department,Massachusetts Institute of Technology (MIT),Aeronautics and Astronautics,http://aeroastro.mit.edu/
department,Massachusetts Institute of Technology (MIT),Biological Engineering,http://web.mit.edu/be/index.shtml
department,Massachusetts Institute of Technology (MIT),Chemical Engineering,http://web.mit.edu/cheme/
department,Massachusetts Institute of Technology (MIT),Civil and Environmental Engineering,http://cee.mit.edu/
department,Massachusetts Institute of Technology (MIT),Electrical Engineering and Computer Science,http://www.eecs.mit.edu/
department,Massachusetts Institute of Technology (MIT),Materials Science and Engineering,http://dmse.mit.edu/
department,Massachusetts Institute of Technology (MIT),Mechanical Engineering,http://meche.mit.edu/
department,Massachusetts Institute of Technology (MIT),Nuclear Science and Engineering,http://web.mit.edu/nse/
department,Massachusetts Institute of Technology (MIT),"Institute for Data, Systems, and Society",http://idss.mit.edu/
department,Massachusetts Institute of Technology (MIT),Institute for Medical Engineering and Science,http://imes.mit.edu/
department,Massachusetts Institute of Technology (MIT),Anthropology,http://web.mit.edu/anthropology/
department,Massachusetts Institute of Technology (MIT),Comparative Media Studies,http://cms.mit.edu/
department,Massachusetts Institute of Technology (MIT),Writing,http://writing.mit.edu/
department,Massachusetts Institute of Technology (MIT),Economics,http://econ-www.mit.edu/
department,Massachusetts Institute of Technology (MIT),Global Studies and Languages,http://web.mit.edu/fll/www/
department,Massachusetts Institute of Technology (MIT),History,http://history.mit.edu
department,Massachusetts Institute of Technology (MIT),Humanities,http://shass.mit.edu/undergraduate
department,Massachusetts Institute of Technology (MIT),Linguistics,http://web.mit.edu/linguistics/
department,Massachusetts Institute of Technology (MIT),Philosophy,http://web.mit.edu/philos/www/
department,Massachusetts Institute of Technology (MIT),Literature,http://lit.mit.edu/
department,Massachusetts Institute of Technology (MIT),Music,http://web.mit.edu/music/
department,Massachusetts Institute of Technology (MIT),Theater Arts,http://theaterarts.mit.edu/
department,Massachusetts Institute of Technology (MIT),Political Science,http://web.mit.edu/polisci/index.shtml
department,Massachusetts Institute of Technology (MIT),"Science, Technology, and Society",http://web.mit.edu/sts/
department,Massachusetts Institute of Technology (MIT),Management,http://mitsloan.mit.edu/academic/overview.php
department,Massachusetts Institute of Technology (MIT),Biology,https://biology.mit.edu/
department,Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,http://bcs.mit.edu/
department,Massachusetts Institute of Technology (MIT),Chemistry,http://chemistry.mit.edu/
department,Massachusetts Institute of Technology (MIT),"Earth, Atmospheric, and Planetary Sciences",http://eapsweb.mit.edu/
department,Massachusetts Institute of Technology (MIT),Mathematics,http://math.mit.edu/index.php
department,Massachusetts Institute of Technology (MIT),Physics,http://web.mit.edu/physics/
faculty,Harvard University,Harvard Business School,http://www.hbs.edu/
faculty,Harvard University,Harvard College,http://college.harvard.edu/
faculty,Harvard University,Division of Continuing Education,http://www.dce.harvard.edu/
faculty,Harvard University,Harvard School of Dental Medicine,http://www.hsdm.harvard.edu/
faculty,Harvard University,Harvard Divinity School,http://www.hds.harvard.edu/
faculty,Harvard University,Faculty of Arts & Sciences,http://fas.harvard.edu/
faculty,Harvard University,Graduate School of Design,http://www.gsd.harvard.edu/
faculty,Harvard University,Harvard Graduate School of Education,http://www.gse.harvard.edu/
faculty,Harvard University,Graduate School of Arts & Sciences,http://gsas.harvard.edu/
faculty,Harvard University,Harvard John A. Paulson School of Engineering and Applied Sciences,http://seas.harvard.edu/
faculty,Harvard University,Harvard Kennedy School,http://www.hks.harvard.edu/
faculty,Harvard University,Harvard Law School,http://www.law.harvard.edu/index.html
faculty,Harvard University,Harvard Medical School,http://hms.harvard.edu/
faculty,Harvard University,Radcliffe Institute for Advanced Study,http://radcliffe.harvard.edu/
faculty,Harvard University,Harvard T.H. Chan School of Public Health,http://www.hsph.harvard.edu/
department,Harvard University,African and African American Studies,http://aaas.fas.harvard.edu/
department,Harvard University,Anthropology,http://anthropology.fas.harvard.edu/
department,Harvard University,Applied Mathematics,http://www.seas.harvard.edu/applied-mathematics
department,Harvard University,Applied Physics,http://www.seas.harvard.edu/applied-physics
department,Harvard University,Astronomy,http://astronomy.fas.harvard.edu/
department,Harvard University,Bioengineering,http://www.seas.harvard.edu/bioengineering
