Name,Department or Faculty,URL,XPATH,Remark
Massachusetts Institute of Technology (MIT),department,http://web.mit.edu/facts/academic.html,//p/a/@href,
Stanford University,department,https://www.stanford.edu/list/academic/,"//div[@class=""alpha-group""]//a/@href",
Harvard University,faculty,https://www.harvard.edu/schools,"//div[@class=""field-items""]//li//a/@href",
Harvard University,department,https://www.fas.harvard.edu/pages/departments-and-areas,//table//a/@href,
Harvard University,department,https://hms.harvard.edu/research/research-departments-centers-initiatives-and-more,"//*[@id=""node-content-inner""]/div[2]/div/div/div/div/table/tbody//a/@href",
California Institute of Technology (Caltech),department,http://www.caltech.edu/content/academic-divisions-0,"//div[@class=""field-item even""]//a/@href",
University of Cambridge,department,http://www.cam.ac.uk/colleges-and-departments/department-a-z,"//ul[@class=""cam-unstyled-list cam-section-list cam-column4""]//a/@href",
University of Oxford,department,http://www.ox.ac.uk/about/divisions-and-departments,"//span[@class=""field-item-single""][count(ul)>=3]/ul//a/@href",
UCL (University College London),faculty,http://www.ucl.ac.uk/about/how/faculties,"//a[text()[contains(., ""Faculty website"")]]/@href",
UCL (University College London),department,http://www.ucl.ac.uk/ah/departments-centres,"//div[h2=""Departments""]//p//a/@href",
UCL (University College London),department,http://www.ucl.ac.uk/shs,"//div[h2=""Departments""]//a/@href",
UCL (University College London),department,http://www.ucl.ac.uk/mathematical-physical-sciences/departments-institutes,-,http://www.ucl.ac.uk/earth-sciences; http://www.ucl.ac.uk/mathematics; http://www.london-nano.com/; http://www.ucl.ac.uk/physics-astronomy; http://www.ucl.ac.uk/sts; http://www.ucl.ac.uk/mssl; http://www.ucl.ac.uk/mathematical-physical-sciences/departments-institutes/statistical-science; http://www.ucl.ac.uk/statistics; http://www.ucl.ac.uk/chemistry
UCL (University College London),department,http://www.ucl.ac.uk/medical-sciences/about-us,//section//a/@href,
UCL (University College London),department,http://www.ucl.ac.uk/populationhealth-sciences/our-institutes,"/div[@id=""top-columns""]//a/@href",
Imperial College London,department,https://www.imperial.ac.uk/faculties-and-departments/,"//div[h2[@class=""fake-h3""]]//li//a/@href",
University of Chicago,department,https://www.uchicago.edu/academics/departments/,"//div[@id=""a-z""]//table//a/@href",
ETH Zurich - Swiss Federal Institute of Technology,department,https://www.ethz.ch/en/research/departments-and-competence-centres/departments.html,//tr[count(td)>=3]//a/@href,
"Nanyang Technological University, Singapore (NTU)",department,http://www.ntu.edu.sg/AboutNTU/organisation/Pages/CollegesandSchools.aspx,"//div[p[strong=""Colleges and Schools""]]//ul[1]//a/@href",
Ecole Polytechnique Fédérale de Lausanne (EPFL),department,https://www.epfl.ch/,"//div[@id=""school-pane""]//nav//a[strong]/@href",
Princeton University,department,https://www.princeton.edu/academics/areas-of-study,"//div[h3=""Academic Units""]/ul//a/@href",
Cornell University,faculty,http://www.cornell.edu/academics/colleges.cfm,"//h3[@class=""cu-headline""]/a/@href",
Cornell University,department,http://as.cornell.edu/departments-and-programs,"//div//p/a[contains(@href, ""\n"")]/@href",
National University of Singapore (NUS),department,http://www.nus.edu.sg/departments,//section[count(div)>=3]//li//a/@href,
Yale University,department,https://www.yale.edu/academics/departments-programs,//div[h4]//a/@href,
Johns Hopkins University,department,https://www.jhu.edu/academics/#!/programlevel=bachelors,"//div[@class=""field-of-study-details""]/h4[a]/a/@href",
Johns Hopkins University,department,http://krieger.jhu.edu/academics/departments-programs-and-centers/,"//div[@class=""entry-content""]//li//a/@href",
Columbia University,department,http://www.columbia.edu/content/departments-and-divisions.html,"//div[@class=""nt""]//a/@href",
University of Pennsylvania,faculty,https://www.upenn.edu/programs/academics-schools,//div/p[2]/a/@href,
The Australian National University,department,http://www.anu.edu.au/about/leadership-structure/academic-areas,//div[h2]/div/ul//a/@href,
University of Michigan,faculty,https://www.umich.edu/academics/,"//div[h4=""Schools, Colleges & Campuses""]//a[@href[string-length(.)>=1]]/@href",
